"name","chr","start","end","strand","alias","tss","pas","0","10","20","30","40","50","60","70","80","90","100","110","120","130","140"
"YAL067C","chrI",7234,9016,"-","SEO1",9191,7058,6.92194844573261,3.02726626051423,6.66833660818168,15.0263273909639,10.2806769985628,3.43080929226674,2.39511654501289,2.0447688786144,2.01709592463441,2.34305287049798,2.22847870308847,2.60987627632014,3.27892781126725,3.07355647501353,2.94403526165893
"YAL063C","chrI",23999,27968,"-","FLO9",28211,23927,0.458772482020373,0.421814721732454,0.441304333748958,0.42083520242028,0.321644968797956,0.326381899659821,0.274009604737542,0.352353820847752,0.333205295213,0.242478332957889,0.223030913356425,0.202934171753544,0.261413661092831,0.30905446698159,0.22498923406512
"YAL062W","chrI",31566,32940,"+","GDH3",31188,33011,7.18189934806144,7.04006928585781,6.88626903172317,6.7240311262254,6.85375758046807,6.72608646158315,6.49641169870969,5.12647918021885,6.66354627158413,6.62718452198594,7.41790834998745,6.80754242307212,8.26670385131803,9.17662965567972,10.1650660966438
"YAL061W","chrI",33447,34701,"+","BDH2",33359,34868,11.1167532932969,10.7102592527159,6.65515005875874,6.99286150050398,6.76923452384528,6.37450245490931,5.465374747704,5.66820846670017,6.62516859059414,6.12788351517136,6.20611528670117,5.90502732910422,5.72643049380441,6.22167702569556,7.8331778070567
"YAL060W","chrI",35154,36303,"+","BDH1",35107,36387,67.189631466638,101.784993697962,77.744457731184,57.7843542268427,46.9387122671381,43.7770349088652,43.682495368627,40.1655756250444,44.8592435202205,48.7737934763985,52.3455882952108,62.433972153951,68.4500283893885,83.0842050929867,91.3917613693101
"YAL059W","chrI",36508,37147,"+","ECM1",36559,37344,38.5456428941843,136.851548361055,158.847074468991,164.97647546007,156.375052877788,146.653893179816,134.325362712771,159.90571271367,113.139623337958,112.563433587358,113.633465034981,103.13559938842,92.9146800098016,72.3652097349906,70.4629740146812
"YAL058W","chrI",37463,38972,"+","CNE1",37449,39011,21.5514206280001,30.313048292007,30.2926963027669,27.3263126561633,25.3029894512525,24.7277138189489,23.7424764072292,21.6812604684374,24.3932111098924,23.744706514695,24.8091407261521,23.2616596786794,24.1555987909628,24.6699881206121,24.9745807579736
"YAL056W","chrI",39258,41901,"+","GPB2",39215,41980,37.4027658239867,34.8040236604026,31.355178245662,31.8157055612965,32.8763906921728,34.9246478328316,34.6575643533402,35.8886505964739,34.0640082010492,35.0293392499616,36.1580640691494,35.3604565010468,38.373285183795,39.1037888687723,40.5176345670418
"YAL055W","chrI",42176,42719,"+","PEX22",42191,42790,22.1393085094608,13.5661207632539,11.5428261426554,11.4390593514229,10.8391608144143,10.6190666646159,12.0170621127437,15.2402984293739,13.6764276270193,12.5429208560571,13.1323312657243,14.9289530707077,13.4759920517183,15.0249789422536,17.8843134185977
"YAL053W","chrI",45898,48250,"+","FLC2",45744,48310,150.706760343693,113.470796488041,128.446331420604,113.410977333492,84.4897630619578,66.8244550551221,67.6050843537768,72.7863187227248,81.3004900834373,68.1697523319484,57.4740209145444,53.24014818687,59.0192934718597,71.8861588613326,72.7482035040971
"YAL049C","chrI",51854,52595,"-","AIM2",52661,51719,166.806546876926,125.092998171556,111.072958704633,92.3010757458158,81.7779669564902,76.7711817395599,77.2881023165641,79.838156523049,84.4776599061882,80.1447602113163,74.5804764493715,70.0745847715858,78.0060759925261,89.4098122986682,95.9940876451323
"YAL048C","chrI",52800,54789,"-","GEM1",54825,52616,19.4709443157402,18.7236111187829,18.2770118922468,17.8362836152486,17.7379724791975,17.9024488250997,15.2891885333798,16.7392565407059,16.1366812920669,17.0914055927497,17.0974388070417,15.8061163902217,15.7934722476185,16.3069729212362,16.3940702378742
"YAL046C","chrI",57028,57385,"-","AIM1",57383,56911,72.2840878028077,96.1886441334136,96.2974920387909,98.1064329701058,92.3241462310111,84.8295589752144,82.6535831240606,66.5589331914177,87.387234889346,76.809236134465,75.7304746168114,73.797954990284,70.516132747236,68.6792167114335,81.0594024855242
"YAL044W-A","chrI",57517,57850,"+","YAL044W-A",57517,57961,127.705939973316,135.018332267405,133.507891296645,121.322097113956,110.18039288659,100.146854274954,100.50339745496,85.8814604516021,98.8279285522241,91.5043660994822,83.4776076346114,88.6747136994552,83.0188245723418,92.0042133339776,90.9658646856086
"YAL044C","chrI",57949,58462,"-","GCV3",58476,57868,101.140249219602,116.688752547749,113.743117922398,116.671022565728,117.412725380394,101.191377134454,78.5188535776265,56.7730306512248,82.5276669740813,101.968716356285,117.313771322599,130.087867167911,119.807473981488,125.588651787827,140.670818118393
"YAL043C","chrI",58694,61052,"-","PTA1",61076,58626,41.4003472687733,39.3025061984287,38.8662394134569,40.1547256942941,40.9139766226316,40.5527383467062,37.8457069719555,29.0828856027094,37.6418774082043,37.6243221049852,37.8587526871036,37.6454257114046,37.7484897555965,39.0998615695423,37.0419119104375
"YAL042W","chrI",61315,62563,"+","ERV46",61274,62654,168.494297262126,198.853903794952,201.921537338433,192.893633906473,197.995533266682,191.065850860537,187.949275058584,119.861664166818,200.838228614829,202.219531586854,202.230063893919,198.800694109544,198.128800477947,204.95382881518,212.747391024576
"YAL041W","chrI",62839,65404,"+","CDC24",62776,65463,43.3261927977706,38.088833336282,37.3029224875575,37.4093424098831,37.9676492642134,38.5672795870938,35.5114815110631,38.8807724451075,37.7703715730797,37.5491933143298,39.3186870749452,37.0536436130208,40.7483794225799,41.5440698475472,42.1577277810343
"YAL040C","chrI",65777,67520,"-","CLN3",67844,65601,71.0940440880441,57.4496404684359,50.4714856176976,56.848402899232,69.4087295811659,83.9733248260091,83.7505155743221,66.3445984967226,47.6549966166147,38.2512154579187,40.213078280037,40.5756347189991,47.9033488879311,39.9501174803837,27.0571578511823
"YAL039C","chrI",68715,69525,"-","CYC3",69581,68654,123.25243376911,67.5873728631911,60.1865560511288,53.3566432268613,47.8344549505978,45.1891661147299,45.7259990396451,22.9834901912425,40.0431599453602,38.3679061893105,38.4926575240594,41.0902420219297,44.3436681242456,47.0158092037226,50.2991556406835
"YAL038W","chrI",71785,73288,"+","CDC19",71759,73452,8199.00589305158,7372.40622526244,6890.84545916405,6827.31658764327,6907.89125379251,6876.03744324961,6707.97607150062,5423.15595536607,6970.19540991926,6675.43315262208,6925.39816389916,7169.04262820534,7090.26668612625,7295.11188724385,7382.31910865518
"YAL036C","chrI",75042,76152,"-","RBG1",76189,74850,80.9451047703791,162.692342116504,162.143245501754,160.085604370134,163.851637139525,152.96708523172,143.767306316473,143.201266962974,135.273591230061,143.005584395415,150.2596937423,140.830113939139,133.949336061833,122.522370689871,131.822987972083
"YAL035W","chrI",76426,79435,"+","FUN12",76401,79555,180.878469036254,274.492754991772,283.664995808945,287.235169740164,279.137835534092,255.687209548495,254.085582321676,254.058520467197,234.603653945518,229.836532875435,241.736185849353,250.417902729793,218.699437733971,210.511709597453,240.639097820505
"YAL034W-A","chrI",79717,80587,"+","MTW1",79689,80675,11.9500790753273,33.3553627543746,27.6132535948705,21.4186525097333,15.2453665461602,10.8949517220339,17.4299524087886,30.4090599326799,24.8673674935117,20.8817066278797,17.0286986368062,15.3951528596255,14.7504200185239,20.9685772857052,24.8745599995855
"YAL033W","chrI",82705,83227,"+","POP5",82701,83299,27.7184822243155,42.4069248693438,44.3772684053852,48.1636365959611,49.579202455325,50.5707342431073,40.960781258362,37.9744565114698,44.7911439048494,44.2764792802503,45.8102612013666,44.224356016092,39.4913727446295,39.0462561132039,38.4104263049693
